City,Median Age
Rodriguez Camp ,19.10
University Of California Davis ,19.60
Isla Vista ,20.70
Camp Pendleton North ,21.30
Camp Pendleton South ,21.70
Alpaugh ,21.80
Linnell Camp ,21.90
Oasis ,22.10
Tooleville ,22.40
Vandenberg ,22.50
Lemoore Station ,22.50
Lost Hills ,22.60
Stanford ,22.60
Mcclellan Park ,22.60
Richgrove ,22.90
Edwards ,23.00
Plainview ,23.10
Beale ,23.30
Allensworth ,23.40
Twentynine Palms ,23.50
Earlimart ,23.50
Smith Corner ,23.60
San Joaquin ,23.60
Orange Cove ,23.60
North Shore ,23.60
Mecca ,23.70
Yettem ,23.80
Biola ,23.80
Fort Irwin ,23.90
Teviston ,24.00
Seville ,24.00
Arvin ,24.00
Tipton ,24.00
East Orosi ,24.20
Mexican Colony ,24.30
Weedpatch ,24.40
Angwin ,24.40
Coachella ,24.50
Lindsay ,24.60
Cutler ,24.60
Pixley ,24.70
Lamont ,24.70
Huron ,24.70
Ripley ,24.80
Raisin City ,24.80
Poplar-Cotton Center ,24.80
Muscoy ,24.90
Parlier ,25.10
Davis ,25.20
Adelanto ,25.30
Parksdale ,25.40
East Porterville ,25.40
Strathmore ,25.50
Kettleman City ,25.50
Hardwick ,25.50
Greenfield ,25.50
Bret Harte ,25.50
Winton ,25.60
Pajaro ,25.60
London ,25.60
Calwa ,25.60
Mcfarland ,25.70
Coleville ,25.70
South Dos Palos ,25.80
Westley ,25.90
Shafter ,25.90
Rouse ,25.90
Perris ,25.90
King City ,25.90
Thermal ,25.90
Scotia ,26.00
Delft Colony ,26.00
East Rancho Dominguez ,26.10
Baker ,26.10
Arcata ,26.10
Terra Bella ,26.10
Mendota ,26.20
Farmersville ,26.20
San Lucas ,26.30
Florence-Graham ,26.30
Woodlake ,26.40
West Goshen ,26.40
Parklawn ,26.40
Orosi ,26.40
Firebaugh ,26.40
Woodville ,26.50
San Luis Obispo ,26.50
Buttonwillow ,26.50
San Ardo ,26.60
Monterey Park Tract ,26.60
Madera ,26.60
Chualar ,26.60
Castroville ,26.70
Kennedy ,26.80
Parkwood ,26.90
Matheny ,26.90
Gonzales ,27.00
Franklin ,27.00
Cudahy ,27.00
Bear Creek ,27.00
Sultana ,27.10
Planada ,27.10
South Taft ,27.10
Goshen ,27.10
Monson ,27.20
Fuller Acres ,27.20
Dinuba ,27.20
Boronda ,27.20
Good Hope ,27.20
Tonyville ,27.30
Del Rey ,27.30
Cherokee Strip ,27.30
Bell Gardens ,27.30
Shackelford ,27.40
Livingston ,27.40
Ivanhoe ,27.40
Ford City ,27.40
Edmundson Acres ,27.50
Delhi ,27.50
Stratford ,27.60
Riverdale ,27.60
La Vina ,27.60
Ducor ,27.60
Lennox ,27.70
Las Lomas ,27.70
El Nido ,27.70
Lynwood ,27.80
Bloomington ,27.80
Taft Mosswood ,27.90
Maywood ,27.90
Linda ,27.90
Home Garden ,27.90
Malaga ,27.90
Saticoy ,28.00
Compton ,28.00
Cantua Creek ,28.00
August ,28.00
Merced ,28.10
East Palo Alto ,28.10
Samoa ,28.10
Willowbrook ,28.20
Kerman ,28.20
Guadalupe ,28.20
Williams ,28.30
Wasco ,28.30
San Miguel CDP ,28.30
Mead Valley ,28.30
Bystrom ,28.30
Arbuckle ,28.30
Rialto ,28.30
Hawaiian Gardens ,28.40
Colton ,28.40
Seeley ,28.50
San Bernardino ,28.50
Mettler ,28.50
Lanare ,28.50
Delano ,28.50
Lemon Hill ,28.50
Santa Maria ,28.60
Paramount ,28.60
Moreno Valley ,28.60
Madison ,28.60
Chico ,28.60
Thornton ,28.60
Lemoore ,28.60
Heber ,28.70
Fontana ,28.70
Garden Acres ,28.70
Armona ,28.70
Porterville ,28.80
Salinas ,28.80
Stevinson ,28.90
Huntington Park ,28.90
Bell ,28.90
North Richmond ,29.00
Grayson ,29.00
Fairmead ,29.00
Santa Ana ,29.10
Reedley ,29.10
Plumas Lake ,29.10
Patterson ,29.10
East Los Angeles ,29.10
Tulare ,29.10
Westmorland ,29.20
Watsonville ,29.20
Sanger ,29.20
Rubidoux ,29.20
Corning ,29.20
Taft Heights ,29.30
Home Gardens ,29.30
Garnet ,29.30
Fresno ,29.30
Azusa ,29.30
South Gate ,29.40
Piru ,29.40
Newell ,29.40
Lenwood ,29.40
Laton ,29.40
Ceres ,29.40
Tulelake ,29.40
Victorville ,29.50
Selma ,29.50
Pomona ,29.50
Keyes ,29.50
Waterford ,29.60
Riverdale Park ,29.60
Hamilton City ,29.60
El Rio ,29.60
Parkway ,29.70
Palmdale ,29.70
Mayfair ,29.70
Caruthers ,29.70
Traver ,29.70
South San Jose Hills ,29.70
Fruitridge Pocket ,29.70
Airport ,29.70
West Park ,29.80
Los Banos ,29.80
Lake Elsinore ,29.80
Vista Santa Rosa ,29.80
Mesa Verde ,29.80
Santa Cruz ,29.90
Oxnard ,29.90
Ontario ,29.90
Olivehurst ,29.90
Lake Los Angeles ,29.90
Imperial ,29.90
Westmont ,29.90
Desert Shores ,29.90
Trona ,30.00
South Oroville ,30.00
Riverside ,30.00
Bakersfield ,30.00
Atwater ,30.00
French Camp ,30.10
Bay Point ,30.10
Walnut Park ,30.20
Roseland ,30.20
National City ,30.20
Highgrove ,30.20
Freedom ,30.20
Brawley ,30.20
West Modesto ,30.20
Waukena ,30.30
San Jacinto ,30.30
South El Monte ,30.40
Santa Nella ,30.40
Philo ,30.40
Mira Loma ,30.40
Lee Vining ,30.40
Patterson Tract ,30.40
Lancaster ,30.40
Warner Valley ,30.50
Lathrop ,30.50
Interlaken ,30.50
Hesperia ,30.50
French Valley ,30.50
Baldwin Park ,30.50
Shandon ,30.60
Seaside ,30.60
Highland ,30.60
Acampo ,30.60
Macdoel ,30.60
San Fernando ,30.70
Newman ,30.70
Montclair ,30.70
Citrus ,30.70
Stockton ,30.80
Hollister ,30.80
Lakeview ,30.90
Hanford ,30.90
Eastvale ,30.90
Three Rocks ,31.00
Riverbank ,31.00
North Fair Oaks ,31.00
Mojave ,31.00
Madera Acres ,31.00
Imperial Beach ,31.00
Desert Hot Springs ,31.00
Berkeley ,31.00
Warm Springs ,31.10
Vista ,31.10
Sunnyslope ,31.10
Santa Paula ,31.10
Rollingwood ,31.10
Foothill Farms ,31.10
Desert View Highlands ,31.10
Barstow ,31.10
Ballico ,31.10
Salida ,31.20
Exeter ,31.20
Commerce ,31.20
Salton City ,31.30
Port Hueneme ,31.30
Dos Palos ,31.30
Amesti ,31.30
Oildale ,31.40
Mountain House ,31.40
Cabazon ,31.40
Ashland ,31.40
Antelope ,31.40
Sun Village ,31.40
Oroville ,31.50
Le Grand ,31.50
La Puente ,31.50
Herlong ,31.50
Hawthorne ,31.50
Visalia ,31.60
San Pablo ,31.60
Fowler ,31.60
El Monte ,31.60
Mather ,31.60
Kings Beach ,31.60
Valinda ,31.70
Live Oak ,31.70
Glen Avon ,31.70
Alum Rock ,31.70
Val Verde ,31.70
El Centro ,31.80
Calexico ,31.80
Lawndale ,31.90
Fillmore ,31.90
Coalinga ,31.90
Bellflower ,31.90
South Monrovia Island ,32.00
Rosamond ,32.00
Romoland ,32.00
Orland ,32.00
Oakley ,32.00
Byron ,32.00
South Whittier ,32.00
West Athens ,32.10
Holtville ,32.10
Florin ,32.10
East Tulare Villa ,32.10
North Highlands ,32.10
Red Bluff ,32.20
Indio ,32.20
East Hemet ,32.20
Tracy ,32.30
Littlerock ,32.30
Cherryland ,32.30
Vincent ,32.40
Ladera Ranch ,32.40
Gilroy ,32.40
Galt ,32.40
Anaheim ,32.40
Potrero ,32.40
Victor ,32.50
Pittsburg ,32.50
Norwalk ,32.50
Marysville ,32.50
El Rancho ,32.50
Corona ,32.50
Beaumont ,32.50
Turlock ,32.50
Tupman ,32.50
Escondido ,32.50
Willows ,32.60
West Puente Valley ,32.60
Mammoth Lakes ,32.60
Weed ,32.70
Tranquillity ,32.70
La Presa ,32.70
Hughson ,32.80
Empire ,32.80
West Rancho Dominguez ,32.90
San Marcos ,32.90
Nuevo ,32.90
Calipatria ,32.90
Suisun ,33.00
Stanton ,33.00
Sacramento ,33.00
Rohnert Park ,33.00
Leggett ,33.00
Lakeland Village ,33.00
Yuba City ,33.00
Rancho Cordova ,33.10
Proberta ,33.10
Gridley ,33.10
Esparto ,33.10
Long Beach ,33.20
Loma Linda ,33.20
Las Flores ,33.20
Chino ,33.20
Wheatland ,33.20
Downey ,33.30
Dixon ,33.30
Waldon ,33.30
Temecula ,33.40
Pedley ,33.40
Inglewood ,33.40
Tustin ,33.40
Murrieta ,33.40
Pescadero ,33.50
Hayward ,33.50
Colusa ,33.50
West Sacramento ,33.60
Susanville ,33.60
San Diego ,33.60
La Habra ,33.60
Grimes ,33.60
Costa Mesa ,33.60
Manteca ,33.60
Woodland ,33.70
Mentone ,33.70
Kingsburg ,33.70
Fairfield ,33.70
El Cajon ,33.70
Crestmore Heights ,33.70
Chula Vista ,33.70
Avocado Heights ,33.70
Alondra Park ,33.70
West Whittier-Los Nietos ,33.70
Vineyard ,33.80
Ridgecrest ,33.80
Coronita ,33.80
Bostonia ,33.80
Antioch ,33.80
Rosemont ,33.90
Maxwell ,33.90
Lompoc ,33.90
Las Flores CDP ,33.90
Irvine ,33.90
Pico Rivera ,34.00
Monmouth ,34.00
Marina ,34.00
Irwindale ,34.00
Gerber ,34.00
Boyes Hot Springs ,34.00
Santa Clara ,34.10
Sand City ,34.10
Los Angeles ,34.10
Clovis ,34.10
Anderson ,34.10
Cuyama ,34.20
Avenal ,34.20
Modesto ,34.20
Mountain View Acres ,34.30
Lodi ,34.30
Elk Grove ,34.30
Knights Landing ,34.30
Tehachapi ,34.40
Pine Canyon ,34.40
Indio Hills ,34.40
Greenfield CDP ,34.40
Burbank CDP ,34.50
Rancho Cucamonga ,34.50
Winchester ,34.60
Wildomar ,34.60
Hopland ,34.60
Moorpark ,34.70
Montebello ,34.70
Lindcove ,34.70
Green Acres ,34.70
Fallbrook ,34.70
Chowchilla ,34.70
Smith River ,34.80
Richmond ,34.80
Orange ,34.80
Fullerton ,34.80
Fetters Hot Springs-Agua Caliente ,34.80
Denair ,34.80
California City ,34.80
Taft ,34.90
Soledad ,34.90
Oakdale ,34.90
Crescent City ,34.90
Spring Valley CDP ,35.00
Nubieber ,35.00
Lemon Grove ,35.00
Emeryville ,35.00
Corcoran ,35.00
Vine Hill ,35.10
La Riviera ,35.10
Easton ,35.10
Buena Park ,35.10
Aliso Viejo ,35.10
New Cuyama ,35.10
Biggs ,35.10
San Jose ,35.20
Oceanside ,35.20
Hickman ,35.20
Dos Palos Y ,35.20
Campo ,35.20
Montalvin ,35.20
Camino Tassajara ,35.20
Santa Fe Springs ,35.30
Gustine ,35.30
El Paso De Robles ,35.30
Dublin ,35.30
Newark ,35.40
Charter Oak ,35.40
Whittier ,35.40
Oceano ,35.40
American Canyon ,35.50
Sunnyvale ,35.60
Garden Grove ,35.60
Castaic ,35.60
Brentwood ,35.60
South Lake Tahoe ,35.60
Marin City ,35.60
El Verano ,35.70
El Cerrito CDP ,35.70
Covina ,35.70
Soda Springs ,35.80
El Sobrante CDP ,35.80
Cressey ,35.80
Covelo ,35.80
Cottonwood ,35.80
Yolo ,35.90
Ukiah ,35.90
Mountain View ,35.90
Winters ,35.90
Rio Linda ,35.90
West Covina ,36.00
Signal Hill ,36.00
Rancho Santa Margarita ,36.00
Placentia ,36.00
Escalon ,36.00
Del Aire ,36.00
College City ,36.00
Cathedral City ,36.00
Upland ,36.10
Milpitas ,36.10
Homeland ,36.10
Grand Terrace ,36.10
Union City ,36.20
Temescal Valley ,36.20
Robbins ,36.20
Redlands ,36.20
Oakville ,36.20
Oakland ,36.20
Lincoln Village ,36.20
Hilmar-Irwin ,36.20
Eureka ,36.20
East La Mirada ,36.20
Cotati ,36.20
Canby ,36.20
Calpella ,36.20
Bayview CDP ,36.20
Santa Clarita ,36.20
Citrus Heights ,36.20
Upper Lake ,36.30
Mckinleyville ,36.30
Norris Canyon ,36.40
Colma ,36.40
Vernon ,36.50
Stevenson Ranch ,36.50
Nord ,36.50
Mountain View CDP ,36.50
Loleta ,36.50
Goleta ,36.50
Volta ,36.60
Quartz Hill ,36.60
Chino Hills ,36.60
Santa Rosa ,36.70
Rocklin ,36.70
Redwood City ,36.70
Ramona ,36.70
Twin Lakes ,36.80
Santa Barbara ,36.80
Roseville ,36.80
Morgan Hill ,36.80
Honcut ,36.80
Fremont ,36.80
Fields Landing ,36.80
Winter Gardens ,36.80
Tara Hills ,36.80
Boonville ,36.80
Monterey ,36.90
Linden ,36.90
Lake California ,36.90
Grover Beach ,36.90
Country Club ,36.90
Thermalito ,37.00
Talmage ,37.00
Nipomo ,37.00
Cowan ,37.00
Concord ,37.00
Apple Valley ,37.00
Albany ,37.00
Windsor ,37.00
Hermosa Beach ,37.00
San Ramon ,37.10
Midway City ,37.10
Meadowbrook ,37.10
La Mesa ,37.10
Grangeville ,37.10
Ripon ,37.10
Vacaville ,37.20
Santee ,37.20
Pasadena ,37.20
Lake Forest ,37.20
Whitewater ,37.30
Delleker ,37.30
Napa ,37.40
Middletown ,37.40
Fort Bragg ,37.40
Lakewood ,37.50
Industry ,37.50
Eucalyptus Hills ,37.50
Yosemite Valley ,37.60
Folsom ,37.60
Dustin Acres ,37.60
Carson ,37.60
Big Creek ,37.60
Crows Landing ,37.70
Avalon ,37.70
Yucaipa ,37.80
Willits ,37.80
Simi Valley ,37.80
Fulton ,37.80
Vallejo ,37.90
San Lorenzo ,37.90
Phelan ,37.90
Montague ,37.90
Monrovia ,37.90
La Mirada ,37.90
Greenacres ,37.90
Gardena ,37.90
Diablo Grande ,37.90
Cutten ,37.90
Colfax ,37.90
Blythe ,38.00
Truckee ,38.00
Kelseyville ,38.00
South San Francisco ,38.10
Rosemead ,38.10
Menifee ,38.10
Manila ,38.10
Fortuna ,38.10
Rodeo ,38.20
Los Alamos ,38.20
Dorris ,38.20
Artesia ,38.20
Smartsville ,38.30
Rio Dell ,38.30
Daly City ,38.30
Campbell ,38.30
Blue Lake ,38.30
Livermore ,38.30
Clyde ,38.40
Casa Conejo ,38.40
Brooktrails ,38.40
Bieber ,38.40
San Martin ,38.50
San Francisco ,38.50
Redding ,38.50
Bertsch-Oceanview ,38.50
Sisquoc ,38.60
Golden Hills ,38.60
Elverta ,38.60
Claremont ,38.60
San Juan Bautista ,38.70
Menlo Park ,38.70
Los Alamitos ,38.70
Camanche Village ,38.70
Brea ,38.70
Westminster ,38.70
Tarpey Village ,38.80
San Bruno ,38.80
Live Oak CDP ,38.80
Joshua Tree ,38.80
Shasta Lake ,38.80
San Mateo ,38.90
Burbank ,38.90
Bishop ,38.90
San Buenaventura ,39.00
Mount Hermon ,39.00
Hercules ,39.00
Hemet ,39.00
Creston ,39.00
Arden-Arcade ,39.00
Winterhaven ,39.00
Sutter ,39.10
Oak Hills ,39.10
Lakeside ,39.10
Fort Jones ,39.10
Buellton ,39.10
Bermuda Dunes ,39.10
Lockeford ,39.20
El Segundo ,39.20
San Leandro ,39.30
Redondo Beach ,39.30
Needles ,39.30
Foster City ,39.30
Boron ,39.30
Alhambra ,39.30
Maricopa ,39.40
Spreckels ,39.40
El Portal ,39.40
Valley Ford ,39.50
Norco ,39.50
Hartland ,39.50
Carpinteria ,39.50
Oak View ,39.60
Niland ,39.60
Lomita ,39.60
Lemon Cove ,39.60
Discovery Bay ,39.60
Mcarthur ,39.60
Sonora ,39.70
San Clemente ,39.70
Cloverdale ,39.70
Round Valley ,39.80
Opal Cliffs ,39.80
Eldridge ,39.80
Bradley ,39.80
Valley Acres ,39.80
Portola ,39.80
Woodcrest ,39.90
Johnstonville ,39.90
Jacumba ,39.90
Duarte ,39.90
Cupertino ,39.90
Clearlake ,39.90
Alturas ,39.90
Geyserville ,39.90
Cypress ,39.90
Valley Home ,40.00
Salton Sea Beach ,40.00
Richfield ,40.00
Point Arena ,40.00
Mission Hills ,40.00
Marina Del Rey ,40.00
Laytonville ,40.00
Garberville ,40.00
Fellows ,40.00
Calistoga ,40.00
South Pasadena ,40.10
Rosedale ,40.10
Prunedale ,40.10
Plymouth ,40.10
Hacienda Heights ,40.10
Rowland Heights ,40.20
Meiners Oaks ,40.20
Glendora ,40.20
East San Gabriel ,40.20
San Rafael ,40.20
San Juan Capistrano ,40.20
Huntington Beach ,40.20
Snelling ,40.30
Petaluma ,40.30
Clearlake Riviera ,40.30
San Gabriel ,40.30
Davenport ,40.30
West Hollywood ,40.40
Tahoe Vista ,40.40
Santa Monica ,40.40
Placerville ,40.40
Montgomery Creek ,40.40
Carlsbad ,40.40
Artois ,40.40
West Menlo Park ,40.40
Frazier Park ,40.40
Richvale ,40.50
Pleasanton ,40.50
Mono Vista ,40.50
Mcswain ,40.50
East Pasadena ,40.50
Culver City ,40.50
Burlingame ,40.50
South San Gabriel ,40.50
Lincoln ,40.50
Yucca Valley ,40.60
Walnut Grove ,40.60
Lebec ,40.60
El Sobrante ,40.60
El Dorado Hills ,40.60
Cameron Park ,40.60
Zayante ,40.70
Sunnyside-Tahoe City ,40.70
Sheridan ,40.70
Searles Valley ,40.70
San Simeon ,40.70
Pleasant Hill ,40.70
Coronado ,40.70
Alameda ,40.70
Orangevale ,40.70
